epsilon_s,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_90,M_91,M_92,M_93,M_94,M_95,M_96,M_97,M_98,M_99,M_100
1225,4743.31,3535.35,3941.58,5406.64,4255.79,4449.99,5819.05,5307.84,3907.66,4755.67,4371.77,4618.52,4791.63,4399.26,3288.13,5339.8,4614.17,4772.66,5401.3,5542.9,4903.65,4869.25,4135.74,4182.29,4107.83,5022.26,3974.91,4273.96,3925.42,4791.4,4099.15,4221.74,3606.61,4474.64,3932.84,4766.43,4653.81,4606.08,4451.05,3716.87,4512.97,5492.72,4413.48,5033,4029.77,3293.86,4790.12,4592.13,3460.62,3865.24,4683.33,3748.74,4115.24,4074.52,6024.92,4306.68,5149.14,3976.44,3539.82,5432.02,4139.24,4132.65,4998.02,4437.78,5143.45,3967.74,3806.63,4481.87,4491.53,4402.95,3314.44,5092.84,4422.21,5372.04,3918.53,4769.14,3637.2,4855.71,4111.63,4941.98,5027.23,4982.63,5534.26,4307.26,3736.03,3983.65,5347.6,5064.98,4533.03,4939.04,4507.63,4228.51,5273.11,4448.33,5026.11,3901.17,4685.65,4288.32,4668.2,4668.55
1250,4793.79,3572.39,3981.65,5484,4300.93,4491.93,5877.93,5363.6,3948.37,4803.88,4416.16,4665.26,4842.8,4444.36,3321.07,5394.94,4663.54,4822.34,5457.07,5598.64,4951,4919.98,4179.7,4223.63,4150.86,5074.6,4016.67,4316.13,3963.53,4832.1,4140.46,4264.52,3641.26,4516.2,3972.5,4819.93,4699.44,4656.42,4473.04,3754.78,4560.41,5550.45,4457.46,5080.58,4069.33,3307.95,4842.03,4639.4,3498.69,3905.37,4733.32,3784.27,4153.41,4116.89,6085.35,4349.36,5209.78,4017.72,3573.06,5488.15,4183.75,4175.31,5046.58,4480.16,5195.12,4011.46,3850.76,4527.04,4537.72,4447.81,3349.73,5156.84,4467.97,5424.37,3959.38,4816.77,3673.96,4906.76,4153.25,4988.57,5075.56,5030.29,5590.62,4351.33,3775.56,4021.64,5401.24,5119.21,4583.94,4992.16,4550.7,4271.87,5329,4489.77,5076.62,3939,4739.02,4329.36,4717.31,4717.81
1275,4844.27,3607.71,4021.72,5561.15,4345.04,4533.88,5936.82,5419.36,3989.09,4852.09,4460.54,4712,4892.86,4489.46,3354.01,5447.37,4712.91,4872.03,5507.73,5654.37,4998.35,4964.97,4221.34,4263.32,4193.88,5126.94,4056.32,4358.29,4001.64,4872.81,4180.7,4307.3,3674.93,4557.76,4012.17,4873.43,4745.07,4706.76,4495.03,3791.44,4607.84,5608.18,4496.55,5128.16,4106.08,3314.74,4892.49,4681.98,3533.37,3945.5,4779.07,3818.29,4187.56,4159.25,6145.77,4391.67,5270.43,4058.99,3606.29,5544.28,4224.28,4217.96,5095.14,4522.54,5246.78,4050.82,3892.18,4572.22,4583.92,4490.92,3381.32,5220.85,4507.82,5476.69,3995.79,4864.4,3710.71,4957.81,4194.87,5035.16,5123.08,5077.95,5644.54,4395.41,3812.13,4059.64,5454.88,5169.24,4634.84,5043.91,4593.78,4314.6,5384.89,4531.2,5127.14,3974.91,4787.01,4370.41,4766.42,4761.99
1300,4894.74,3640.64,4060.46,5633.31,4385,4575.82,5995.7,5475.13,4029.8,4900.3,4504.93,4753.97,4937.92,4534.56,3386.94,5494.94,4762.27,4918.82,5556.25,5710.11,5045.7,5009.96,4260.26,4303.01,4236.91,5173.28,4093.46,4400.46,4039.75,4913.51,4217.06,4350.08,3708.59,4598.67,4051.84,4924.66,4785.04,4756.07,4517.02,3824.83,4655.27,5660.25,4534.9,5175.73,4142.82,3321.54,4938.86,4724.56,3567.58,3982.07,4824.82,3849.33,4221.72,4197.81,6206.2,4428.9,5330.08,4100.27,3633.68,5600.41,4264.81,4260.62,5142.92,4564.92,5297.29,4089.91,3933.59,4617.4,4625.29,4534.03,3412.91,5282.89,4547.6,5529.01,4032.19,4912.03,3744.71,5007.48,4236.49,5081.74,5170.6,5125.61,5693.09,4435.32,3848.7,4097.63,5508.52,5216.62,4681.78,5091.35,4636.85,4353.1,5439.77,4572.64,5177.65,4007.81,4835,4411.46,4815.54,4805.26
1325,4942.54,3673.57,4096,5705.48,4424.96,4617.77,6054.58,5524.35,4067.96,4945.25,4549.32,4794.55,4982.97,4578.21,3419.74,5542.51,4808.11,4962.47,5604.76,5764.41,5093.04,5054.94,4299.18,4342.7,4279.93,5219.23,4130.6,4440.03,4077.86,4954.21,4253.41,4388.52,3742.26,4611.68,4087.84,4972.68,4824.49,4801.13,4539,3858.23,4698.73,5710.23,4573.24,5223.31,4179.57,3328.33,4985.23,4767.13,3601.79,4017.93,4870.57,3880.38,4255.88,4235.25,6266.62,4466.13,5384.89,4141.52,3655.32,5652.01,4305.34,4300.6,5184.89,4607.3,5342.14,4129,3975.01,4660.54,4665.79,4577.14,3444.51,5341.49,4587.39,5580.24,4068.6,4959.66,3777.46,5052.39,4278.11,5128.33,5218.12,5173.27,5741.63,4474.43,3885.27,4135.63,5562.16,5264.01,4727.46,5138.8,4679.31,4391.6,5488.99,4614.08,5222.64,4040.71,4883,4452.01,4864.47,4848.53
1350,4987.34,3706.5,4131.55,5777.64,4464.92,4657.88,6110.82,5573.06,4104.4,4987.5,4589.61,4835.12,5028.03,4618.07,3449.25,5590.07,4852.2,5006.11,5653.27,5813.23,5134.73,5099.93,4338.11,4382.39,4319.56,5265.19,4167.74,4477.12,4111.74,4994.91,4289.77,4426.46,3775.92,4624.68,4123.23,5020.71,4863.93,4846.18,4560.99,3891.62,4741,5760.2,4611.59,5270.43,4216.32,3335.12,5031.59,4809.71,3636,4053.78,4916.32,3911.42,4290.03,4272.69,6320.52,4503.36,5439.69,4178.47,3676.96,5701.31,4345.86,4338.74,5226.86,4649.09,5386.99,4168.09,4013.83,4700.62,4706.28,4620.25,3476.1,5400.1,4627.17,5625.15,4105,5001.61,3810.22,5097.3,4316.03,5169.14,5265.64,5215.36,5790.17,4513.54,3921.84,4173.45,5610.83,5311.39,4773.13,5186.24,4716.79,4430.09,5538.21,4649.99,5266.85,4073.61,4930.99,4488.01,4908.01,4891.8
1375,5032.14,3739.43,4167.09,5846.22,4504.88,4694.37,6162.1,5621.77,4140.85,5029.74,4629.04,4875.7,5073.08,4657.92,3478.77,5637.64,4896.29,5049.75,5701.78,5862.04,5175.69,5144.92,4377.03,4420.08,4358.13,5311.14,4204.89,4514.21,4145.21,5035.61,4326.13,4464.41,3806.17,4637.69,4158.61,5068.73,4903.38,4891.23,4569.52,3925.01,4783.27,5810.18,4649.93,5311.85,4250.81,3341.91,5077.96,4852.29,3668.68,4089.64,4961.28,3942.46,4324.19,4310.13,6373.05,4540.59,5494.5,4215.42,3698.6,5750.6,4384.94,4376.88,5268.84,4686.02,5431.84,4205.99,4051.76,4740.71,4746.77,4659.42,3506.33,5458.71,4666.95,5670.06,4141.41,5043.29,3842.98,5142.21,4352.99,5209.31,5313.11,5256.86,5838.72,4552.64,3955.79,4206.99,5657.47,5358.78,4818.81,5233.68,4754.28,4468.59,5587.44,4682.05,5311.05,4106.51,4978.02,4524,4951.56,4935.07
1400,5076.94,3770.63,4202.63,5913.24,4544.68,4730.85,6213.39,5670.48,4177.29,5071.99,4668.48,4916.27,5118.13,4697.77,3508.28,5685.21,4940.39,5093.4,5750.29,5910.85,5216.65,5187.65,4414.48,4454.9,4396.69,5357.1,4234.85,4551.3,4178.68,5074.88,4362.48,4502.36,3836.01,4650.69,4193.99,5116.76,4942.83,4936.28,4576.94,3958.41,4825.53,5860.15,4686.96,5353.27,4275.71,3348.71,5121.72,4890.78,3699.34,4125.3,5001.57,3973.51,4358.34,4347.57,6425.59,4577.82,5549.31,4252.38,3720.25,5799.9,4420.85,4415.02,5310.81,4722.95,5476.69,4240.85,4089.68,4780.79,4787.26,4697.59,3534.55,5514.86,4706.19,5714.97,4173.92,5084.98,3875.73,5187.12,4389.96,5249.49,5345.37,5298.36,5887.26,4591.75,3988.36,4240.54,5704.1,5406.17,4863.82,5278.55,4791.76,4506.68,5636.66,4714.11,5355.25,4139.41,5020.52,4560,4995.11,4976.22
1425,5121.74,3799.84,4237.68,5980.26,4579.97,4767.33,6264.68,5719.2,4213.74,5114.23,4707.91,4956.85,5158.98,4737.62,3537.79,5732.67,4984.48,5137.04,5793.74,5959.66,5257.61,5226.78,4448.85,4489.73,4435.26,5400.88,4258.43,4588.39,4212.16,5108.96,4385.28,4540.31,3865.84,4663.69,4229.37,5160.85,4982.27,4979.29,4584.35,3988.23,4867.8,5910.13,4703.31,5394.68,4300.6,3355.5,5163.04,4928.07,3730,4157.28,5041.86,3994.72,4388.23,4382.91,6478.13,4611.13,5599.91,4289.33,3741.89,5849.2,4456.76,4453.16,5352.78,4759.88,5521.54,4275.7,4127.61,4820.87,4826.81,4735.77,3562.76,5568.33,4739.57,5759.89,4206.01,5126.67,3905.7,5232.03,4426.92,5289.67,5377.62,5339.87,5935.81,4624.15,4020.94,4274.09,5750.74,5448.02,4904.68,5320.83,4829.25,4540.8,5685.88,4746.18,5399.45,4163.31,5063.01,4595.99,5038.65,5014.13
1450,5165.27,3829.05,4269.14,6046.79,4615.26,4803.82,6315.96,5767.81,4247.14,5156.48,4747.34,4984.19,5198.54,4777.47,3566.63,5773.59,5024.94,5167.17,5835.83,6008.47,5298.57,5265.9,4483.22,4524.56,4473.82,5441.14,4282,4625.48,4245.63,5143.04,4404.1,4575.23,3895.67,4676.7,4261.25,5203.83,5010.27,5019.5,4591.77,4017.58,4899.59,5956.82,4719.66,5436.1,4325.5,3362.29,5204.36,4965.36,3760.66,4189.25,5082.15,4006.8,4417.61,4415.91,6530.67,4626.47,5649.27,4325.73,3763.53,5898.49,4492.67,4485.62,5394.75,4796.81,5566.39,4310.55,4162.58,4860.23,4862.22,4773.95,3590.98,5621.8,4772.96,5804.8,4238.1,5168.36,3934.84,5273.28,4463.88,5329.85,5409.88,5381.37,5978.3,4654.15,4053.51,4307.63,5797.38,5489.3,4945.55,5363.11,4866.74,4574.91,5731.26,4778.24,5443.23,4172.32,5105.51,4631.99,5082.2,5052.04
1475,5204.92,3858.26,4300.61,6108.8,4650.55,4840.3,6367.25,5805.67,4279.69,5194.89,4784.14,5004.36,5238.09,4813.43,3593.03,5814.52,5064.21,5195.45,5877.93,6048.1,5339.53,5305.02,4517.6,4559.39,4508.57,5481.4,4305.58,4658.71,4277.65,5177.12,4422.91,4608.84,3925.5,4689.7,4292.76,5246.81,5030,5059.71,4599.19,4046.94,4928.17,5999.95,4736,5477.52,4350.39,3369.08,5245.68,5002.64,3791.32,4221.23,5122.43,4018.88,4446.98,4448.91,6583.21,4641.82,5698.63,4358.74,3778.55,5941.86,4528.58,4515.93,5427.99,4833.74,5594.07,4345.4,4197.25,4895.73,4897.63,4812.13,3619.19,5675.27,4806.34,5849.71,4270.18,5209.99,3963.98,5312.67,4498.62,5370.03,5442.13,5422.88,6020.01,4684.15,4086.09,4341.18,5844.01,5530.59,4986.41,5405.39,4904.22,4609.02,5774.49,4810.31,5465.68,4181.33,5148.01,4664.27,5122.12,5089.95
1500,5244.57,3887.47,4332.08,6170.82,4685.83,4876.79,6416.82,5843.54,4312.23,5231.82,4819.11,5024.53,5277.65,4848.56,3619.43,5855.45,5103.49,5223.73,5920.02,6068.14,5376.35,5344.14,4551.97,4594.21,4543.07,5521.65,4329.15,4691.27,4297.62,5211.2,4441.73,4642.44,3949.41,4702.71,4324.27,5289.79,5049.74,5099.93,4606.6,4076.3,4956.75,6043.08,4752.35,5518.93,4375.29,3375.87,5287,5039.93,3820.45,4253.2,5162.72,4030.96,4476.36,4481.91,6631.7,4657.16,5747.98,4391.75,3785.81,5985.05,4564.49,4546.23,5457.18,4870.67,5621.22,4380.06,4231.93,4931.23,4933.04,4842.33,3646.64,5727.66,4839.72,5892.97,4302.27,5246.39,3993.12,5352.07,4531.37,5406.2,5474.39,5460.68,6061.72,4714.14,4117.15,4369.1,5888.07,5571.87,5027.27,5447.67,4925.34,4643.13,5817.71,4842.37,5488.13,4190.34,5190.5,4684.81,5160.63,5127.86
1525,5284.22,3916.68,4363.54,6232.83,4721.12,4908.59,6451.69,5881.4,4344.78,5268.75,4854.07,5044.7,5317.21,4883.69,3645.83,5896.37,5142.77,5252,5962.12,6088.18,5405.32,5383.26,4586.35,4619.13,4577.56,5561.91,4352.73,4723.83,4317.59,5245.28,4460.54,4676.04,3964,4715.71,4355.77,5332.77,5069.47,5140.14,4614.02,4105.66,4985.34,6086.2,4768.69,5550.38,4400.19,3382.67,5323.89,5077.21,3847.88,4285.18,5198.44,4043.04,4505.73,4514.92,6676.91,4672.51,5797.34,4424.75,3793.06,6028.24,4587.2,4576.53,5486.36,4903.65,5648.38,4411.07,4266.6,4966.72,4968.45,4853.44,3671.8,5776.3,4873.1,5931.44,4334.23,5282.8,4022.26,5391.46,4564.13,5424.83,5506.64,5496.76,6103.42,4744.14,4146.12,4388.54,5928.52,5613.16,5068.13,5485.65,4944.16,4677.24,5860.94,4858.63,5510.58,4199.35,5229.99,4705.35,5199.14,5165.77
1550,5323.87,3942.97,4395.01,6293.84,4755.4,4940.28,6486.55,5919.27,4377.33,5305.68,4889.03,5064.87,5356.76,4918.83,3672.23,5937.3,5182.04,5280.28,6004.21,6108.22,5434.29,5422.39,4618.66,4628.58,4612.06,5602.17,4376.31,4756.39,4337.56,5279.36,4479.36,4709.65,3978.59,4728.71,4387.28,5372.97,5089.2,5180,4621.44,4135.02,5013.92,6129.33,4785.04,5578.11,4420.81,3389.46,5343.3,5099.33,3875.32,4308.61,5223.04,4055.12,4535.1,4547.92,6722.11,4687.85,5842.23,4457.76,3800.32,6071.42,4606.29,4606.84,5515.55,4935.77,5675.53,4442.09,4299.09,5002.22,5003.86,4864.56,3696.96,5824.95,4906.48,5969.91,4362.47,5319.21,4050.59,5430.85,4596.88,5443.46,5538.9,5532.85,6145.13,4774.14,4175.09,4407.97,5968.97,5654.45,5104.73,5505.63,4962.98,4705.17,5904.17,4867.88,5533.03,4208.36,5267.52,4725.89,5237.64,5199.77
1575,5363.52,3968.84,4420.12,6351.02,4785.35,4971.97,6521.42,5957.14,4408.51,5342.61,4923.99,5085.04,5382.4,4953.96,3698.63,5978.23,5220.27,5308.55,6046.31,6128.26,5463.26,5442.7,4648.97,4638.04,4646.55,5641.52,4387.79,4788.96,4357.53,5313.44,4498.17,4743.25,3993.18,4741.72,4412.95,5411.35,5108.93,5215.83,4628.86,4155.21,5042.51,6172.45,4801.38,5605.85,4429.06,3396.25,5362.7,5109.76,3902.75,4328.13,5247.64,4067.2,4564.48,4570.99,6767.32,4703.2,5886.56,4490.77,3807.57,6114.61,4625.39,4637.14,5544.73,4967.89,5702.69,4473.1,4330.73,5037.72,5039.27,4875.68,3722.13,5873.59,4936.34,6008.38,4390.72,5355.61,4076.49,5470.25,4629.64,5462.09,5567.73,5568.94,6186.84,4794.48,4204.05,4427.4,6009.42,5690.89,5141.21,5525.61,4981.8,4724.61,5947.4,4877.12,5555.47,4217.37,5305.05,4746.43,5276.15,5215.4
1600,5394.27,3994.72,4428.94,6408.2,4815.3,5003.66,6556.28,5995,4437.54,5379.54,4958.96,5105.21,5398.58,4989.09,3720.61,6019.15,5255.2,5336.83,6069.56,6148.3,5492.23,5457.59,4679.27,4647.49,4679.03,5658.17,4396.25,4821.52,4377.5,5347.52,4516.99,4768.01,4007.78,4754.72,4427.76,5449.73,5128.67,5251.65,4636.27,4172.41,5067.98,6215.58,4817.73,5633.58,4437.32,3403.04,5382.11,5120.18,3930.18,4347.66,5272.24,4079.28,4583.62,4582.75,6812.53,4718.54,5930.89,4521.3,3814.83,6157.8,4644.48,4648.69,5573.91,5000.01,5729.84,4504.12,4362.38,5072.21,5062.44,4886.8,3747.29,5922.23,4945.28,6046.85,4418.96,5392.02,4102.39,5507.92,4662.39,5480.72,5578.19,5605.03,6228.55,4803.55,4233.02,4446.83,6049.87,5718.8,5177.69,5545.59,5000.62,4744.04,5986.81,4886.37,5577.92,4226.38,5342.59,4766.97,5314.66,5231.02
1625,5407.7,4020.6,4437.75,6465.38,4845.26,5035.35,6591.14,6032.87,4466.57,5414.96,4977.54,5125.38,5414.76,5014.24,3741.64,6041.13,5290.13,5360.08,6092.43,6168.34,5521.2,5472.48,4709.58,4656.95,4709.83,5674.82,4404.71,4847.02,4397.46,5356.49,4531.05,4790.86,4022.37,4765.52,4442.58,5488.11,5148.4,5287.48,4643.69,4189.61,5077.8,6257.29,4834.08,5661.32,4445.57,3409.84,5401.51,5130.6,3957.62,4367.18,5296.83,4091.36,4591.61,4594.52,6857.73,4733.89,5975.22,4550.74,3822.08,6187.87,4663.58,4657.66,5603.1,5032.14,5756.99,4535.13,4394.03,5103.62,5080.8,4897.92,3772.45,5968.39,4954.23,6085.32,4447.2,5428.43,4128.3,5542.02,4687.58,5499.35,5588.64,5641.12,6259.2,4812.62,4261.98,4466.27,6090.32,5746.71,5214.16,5565.57,5019.45,4763.48,6019.74,4895.62,5600.37,4235.39,5380.12,4787.51,5349.96,5246.65
1650,5421.12,4046.47,4446.56,6522.57,4875.21,5067.03,6626.01,6051.02,4495.6,5426.64,4988.47,5145.55,5430.94,5033.88,3762.68,6052.81,5325.05,5369.95,6115.3,6188.38,5550.17,5487.38,4739.88,4666.4,4740.63,5691.47,4413.17,4862.35,4417.43,5365.25,4539.06,4813.71,4036.96,4769.07,4457.39,5526.5,5168.13,5323.31,4651.11,4206.81,5087.62,6294.45,4848.22,5689.05,4453.83,3416.63,5420.92,5141.02,3976.56,4386.71,5321.43,4103.44,4599.6,4606.29,6902.94,4749.23,6019.55,4580.18,3829.34,6203.53,4682.67,4666.63,5632.28,5064.26,5784.15,4563.33,4425.27,5135.02,5099.17,4909.04,3796.3,6012.53,4963.18,6123.79,4475.44,5460.23,4154.2,5576.12,4707.5,5517.99,5599.1,5677.21,6273.62,4821.69,4285.57,4485.7,6130.77,5774.62,5250.64,5585.55,5038.27,4782.92,6052.68,4904.86,5622.82,4244.4,5417.65,4808.05,5383.96,5262.28
1675,5434.55,4072.35,4455.38,6575.19,4905.16,5098.72,6660.87,6062.1,4524.63,5438.31,4999.4,5165.55,5447.12,5053.52,3783.71,6064.48,5359.98,5379.82,6138.16,6208.41,5579.13,5502.27,4770.18,4675.86,4771.44,5708.12,4421.63,4877.67,4437.4,5374,4547.06,4836.56,4051.55,4772.62,4472.21,5564.88,5187.87,5359.14,4658.52,4224.01,5097.45,6331.61,4856.36,5716.79,4462.08,3417.63,5440.32,5151.45,3994.93,4406.23,5346.03,4113.78,4607.59,4618.05,6938.75,4764.12,6061.78,4609.63,3836.59,6219.19,4701.77,4675.6,5657.41,5096.38,5808.05,4578.5,4454.13,5166.43,5117.53,4920.16,3818.72,6056.67,4972.12,6162.26,4503.68,5474.29,4180.1,5610.23,4727.42,5536.62,5609.55,5699.99,6288.04,4830.76,4304.4,4505.13,6167.47,5802.52,5284.73,5605.54,5057.09,4802.36,6085.62,4914.11,5645.27,4253.41,5453.01,4828.6,5417.95,5277.9
1700,5447.98,4089.91,4464.19,6627.77,4935.11,5115.13,6695.74,6073.18,4553.66,5449.99,5010.32,5174.2,5463.29,5073.16,3804.75,6076.16,5394.91,5389.7,6161.03,6228.45,5608.1,5517.16,4800.49,4685.31,4802.24,5724.77,4430.09,4893,4446.07,5382.76,4555.07,4859.4,4066.14,4776.17,4487.02,5596.98,5200.66,5392.71,4665.94,4241.21,5107.27,6368.77,4864.49,5744.52,4470.34,3418.14,5459.73,5161.87,4013.29,4425.76,5370.63,4120.3,4615.57,4629.82,6950.9,4772.01,6101.52,4639.07,3843.85,6234.86,4720.86,4684.56,5666.69,5115.53,5817.94,4593.68,4482.98,5197.84,5135.9,4931.28,3841.14,6100.81,4981.07,6195.25,4525.85,5488.36,4205.19,5644.33,4747.35,5555.25,5620.01,5710.98,6302.47,4839.83,4323.22,4521.65,6184.69,5830.43,5308.51,5625.52,5075.91,4821.8,6118.56,4923.36,5655.55,4262.42,5483.29,4840.1,5451.95,5293.53
1725,5461.41,4101.29,4473,6680.35,4956.23,5123.54,6711.67,6084.26,4577.31,5461.66,5021.25,5182.85,5479.47,5092.8,3825.78,6087.83,5428.78,5399.57,6183.9,6245.67,5620.83,5532.05,4827.51,4694.77,4833.04,5741.42,4438.55,4908.33,4453.4,5391.51,4563.08,4882.25,4074.59,4779.72,4501.83,5627.6,5209.02,5403.47,4673.36,4258.42,5117.09,6405.92,4872.63,5768.41,4478.59,3418.64,5479.13,5172.29,4031.66,4442.64,5393.75,4126.82,4623.56,4641.58,6963.05,4779.9,6141.27,4668.51,3851.11,6250.52,4734.54,4693.53,5675.96,5125.95,5827.84,4608.86,4511.84,5229.24,5154.26,4942.4,3863.57,6144.95,4990.01,6207.62,4537.52,5502.42,4212.64,5678.43,4767.27,5573.88,5630.46,5721.96,6316.89,4848.9,4342.05,4529.12,6201.91,5858.34,5332.29,5645.5,5093.44,4841.23,6151.5,4932.6,5665.28,4271.06,5513.58,4848.07,5485.94,5309.15
1750,5474.83,4112.66,4481.81,6732.94,4964.37,5131.94,6723.27,6095.33,4590.92,5473.34,5032.18,5191.51,5495.65,5112.44,3841.33,6099.51,5440.29,5409.44,6206.77,6254.69,5629.94,5546.95,4854.21,4704.22,4861.75,5758.07,4447.02,4923.66,4460.73,5400.27,4571.08,4905.1,4081.09,4783.27,4516.65,5658.22,5217.39,5414.23,4678.23,4275.62,5126.91,6443.08,4880.77,5777.7,4486.84,3419.15,5491.15,5182.71,4050.03,4449.9,5402.88,4133.34,4631.55,4653.35,6975.2,4787.79,6181.01,4696.05,3858.36,6266.18,4742.61,4702.5,5685.24,5136.37,5837.73,4624.04,4540.7,5260.65,5172.62,4953.52,3885.99,6187.39,4998.96,6219.99,4549.2,5516.49,4220.09,5712.53,4787.19,5592.51,5640.92,5732.94,6331.31,4857.97,4360.87,4536.59,6219.13,5886.24,5356.07,5657.79,5101.52,4858.36,6184.44,4941.85,5675.01,4277.71,5543.87,4856.03,5519.94,5324.78
1775,5488.26,4124.04,4490.63,6783.75,4972.51,5140.35,6734.87,6106.41,4604.52,5485.02,5043.11,5200.16,5511.83,5132.08,3847.33,6111.18,5451.79,5419.32,6229.64,6263.71,5639.05,5561.84,4880.92,4713.68,4888.47,5774.72,4455.48,4938.99,4468.06,5409.02,4579.09,4926.83,4087.6,4786.81,4531.46,5688.85,5225.75,5425,4678.93,4292.82,5136.73,6480.24,4888.91,5786.99,4495.1,3419.65,5500.59,5193.14,4068.39,4457.15,5412,4139.86,4639.54,4665.11,6987.35,4795.68,6220.75,4722.3,3865.62,6281.84,4750.67,4711.47,5694.51,5146.78,5847.62,4639.21,4566.78,5280.95,5190.99,4963.12,3908.41,6227.38,5007.91,6232.36,4560.87,5530.55,4227.54,5745.66,4807.12,5609.07,5651.37,5743.93,6345.73,4867.04,4379.7,4544.06,6236.36,5914.15,5379.85,5667.49,5109.6,4866.1,6217.37,4951.1,5684.74,4284.35,5574.15,4863.99,5553.93,5340.4
1800,5501.69,4135.41,4499.44,6831.99,4980.65,5148.76,6746.47,6117.49,4618.13,5496.69,5054.03,5208.81,5528.01,5151.72,3853.34,6122.86,5463.3,5429.19,6252.51,6272.73,5648.16,5576.73,4907.62,4723.13,4915.18,5791.37,4463.94,4954.31,4475.39,5417.78,4587.09,4934.53,4094.11,4790.36,4542.33,5719.47,5234.12,5435.76,4679.63,4299.34,5146.55,6517.4,4897.04,5796.27,4503.35,3420.16,5510.03,5203.56,4086.76,4464.4,5421.12,4146.38,4647.53,4676.88,6999.51,4803.57,6260.5,4748.54,3871.32,6297.5,4758.73,4720.43,5703.78,5157.2,5857.51,4654.39,4576.34,5292.85,5209.35,4971.3,3930.73,6267.37,5016.85,6244.73,4572.54,5544.62,4234.99,5754.79,4827.04,5617.44,5661.82,5754.91,6360.16,4876.11,4398.52,4551.53,6253.58,5930.38,5403.63,5677.19,5117.68,4873.83,6236.7,4960.35,5694.47,4290.99,5604.44,4871.96,5568.26,5356.03
1825,5515.12,4146.79,4508.25,6880.23,4988.79,5157.16,6758.06,6128.57,4631.73,5508.37,5064.96,5217.47,5543.62,5171.36,3859.34,6134.53,5474.81,5439.07,6275.38,6281.75,5657.27,5591.62,4934.32,4731.95,4941.9,5808.02,4472.4,4969.64,4482.72,5426.53,4595.1,4942.23,4100.62,4793.91,4549.38,5750.1,5242.48,5446.53,4680.33,4305.8,5156.37,6554.56,4905.18,5805.56,4511.61,3420.66,5519.47,5213.98,4097.83,4471.65,5430.24,4152.9,4655.52,4688.65,7011.66,4811.46,6298.56,4774.79,3876.86,6313.17,4766.79,4729.4,5713.06,5167.61,5867.4,4669.57,4585.9,5304.74,5227.72,4979.47,3938.32,6307.37,5025.8,6257.1,4584.21,5558.68,4242.44,5763.91,4843.77,5625.81,5672.28,5765.89,6374.58,4885.18,4417.35,4558.99,6270.8,5939.65,5427.41,5686.89,5125.76,4881.56,6246.71,4969.59,5704.2,4297.64,5634.73,4879.92,5580.52,5367.77
1850,5528.54,4158.16,4517.07,6928.47,4996.93,5165.57,6769.66,6139.65,4645.34,5520.05,5075.89,5226.12,5552.2,5184.43,3865.35,6146.21,5486.31,5448.94,6288.15,6290.78,5666.38,5606.42,4961.03,4739.14,4968.62,5822.75,4480.36,4984.97,4490.05,5435.29,4603.11,4949.93,4107.13,4797.46,4556.43,5780.72,5250.85,5457.29,4681.03,4312.26,5166.19,6570.05,4913.32,5814.85,4519.86,3421.17,5528.91,5223.68,4104.09,4478.9,5439.36,4159.42,4663.51,4697.72,7023.81,4819.35,6334.15,4801.03,3882.4,6328.83,4774.85,4738.37,5722.33,5178.03,5877.29,4684.75,4595.46,5316.63,5237.33,4987.65,3945.91,6347.36,5034.75,6269.47,4595.88,5572.75,4249.89,5773.03,4851.2,5634.19,5682.73,5776.88,6389,4894.25,4429.06,4566.46,6288.02,5948.93,5451.19,5696.6,5133.84,4889.3,6256.72,4977.72,5713.93,4304.28,5665.02,4887.88,5592.78,5375.98
